coin_number,series,title,views,short_id,url
21,Singapore,Silver Coin #21 has been found in #HuntTheMouse Singapore!,3.4K views,CbrQ15hE164,https://www.youtube.com/shorts/CbrQ15hE164
21,pandamart,Silver Coin #21 has been found in pandamart #HuntTheMouse!,1.9K views,inJpvFcRUcU,https://www.youtube.com/shorts/inJpvFcRUcU
22,Ho Chi Minh City,Silver Coin #22 has been found in #HuntTheMouse — Ho Chi Minh City!,147 views,dQxYrwxBkVQ,https://www.youtube.com/shorts/dQxYrwxBkVQ
22,Ho Chi Minh City,Silver Coin #22 has been found in #HuntTheMouse — Ho Chi Minh City!,715 views,xJCNi7rIH7Y,https://www.youtube.com/shorts/xJCNi7rIH7Y
22,SG60 Edition,Silver Coin #22 has been found in Revolut #HuntTheMouse — SG60 Edition!,382 views,84cjZyPcCd8,https://www.youtube.com/shorts/84cjZyPcCd8
22,Sentosa Edition,Sentosa Silver Coin #22 has been found in #HuntTheMouse — Sentosa Edition!,371 views,ITRtQ_5Mtfs,https://www.youtube.com/shorts/ITRtQ_5Mtfs
22,Singapore,Silver Coin #22 has been found in #HuntTheMouse Singapore!,1.4K views,FnxGP25vlqA,https://www.youtube.com/shorts/FnxGP25vlqA
22,Singapore,Silver Coin #22  has been found in #HuntTheMouse Singapore!,2K views,gBCcOZ5-zCM,https://www.youtube.com/shorts/gBCcOZ5-zCM
22,pandamart,Silver Coin #22 has been found in pandamart #HuntTheMouse!,5.8K views,UqBkvSZIcw0,https://www.youtube.com/shorts/UqBkvSZIcw0
23,Ho Chi Minh City,Silver Coin #23 has been found in #HuntTheMouse — Ho Chi Minh City!,145 views,y0cXeed6enc,https://www.youtube.com/shorts/y0cXeed6enc
23,SG60 Edition,Silver Coin #23 has been found in Revolut #HuntTheMouse — SG60 Edition!,382 views,YZ6V4d774q4,https://www.youtube.com/shorts/YZ6V4d774q4
23,Sentosa Edition,Sentosa Silver Coin #23 has been found in #HuntTheMouse — Sentosa Edition!,851 views,KFHfhQjK2EA,https://www.youtube.com/shorts/KFHfhQjK2EA
